"STATION","NAME","DATE","TMAX"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-21","72"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-22","85"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-23","74"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-24","86"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-25","55"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-26","55"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-27","68"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-28","77"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-29","82"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-30","80"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-31","89"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-01","81"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-02","86"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-03","73"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-04","48"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-05","71"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-06","81"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-07","89"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-08","93"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-09","90"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-10","95"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-11","60"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-12","77"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-13","85"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-14","83"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-15","94"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-16","95"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-17","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-18","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-19","77"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-20","68"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-21","79"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-22","82"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-23","90"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-24","70"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-25","64"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-26","74"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-27","90"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-28","85"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-29","90"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-30","88"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-01","94"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-02","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-03","55"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-04","70"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-05","80"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-06","78"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-07","68"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-08","87"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-09","85"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-10","82"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-11","82"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-12","78"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-13","79"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-14","88"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-15","87"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-16","91"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-17","101"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-18","105"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-19","99"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-20","100"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-21","101"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-22","94"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-23","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-24","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-25","80"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-26","86"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-27","88"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-28","87"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-29","83"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-30","89"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-05-31","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-01","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-02","91"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-03","90"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-04","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-05","102"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-06","102"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-07","88"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-08","81"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-09","89"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-10","91"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-11","97"
